Exit Sensor	Nozzle Fire	RPM

7:00:00.000 PM 12/31/1903	7:00:00.000 PM 12/31/1903	0.000000
2:15:21.949 PM 6/9/2016	2:15:24.048 PM 6/9/2016	3.423094
2:15:51.103 PM 6/9/2016	2:15:53.198 PM 6/9/2016	3.437410
2:16:20.987 PM 6/9/2016	2:16:23.088 PM 6/9/2016	3.422899
2:16:50.832 PM 6/9/2016	2:16:52.928 PM 6/9/2016	3.432102
2:17:17.831 PM 6/9/2016	2:17:19.928 PM 6/9/2016	3.423290
2:17:52.813 PM 6/9/2016	2:17:54.898 PM 6/9/2016	3.443526
2:18:20.429 PM 6/9/2016	2:18:22.518 PM 6/9/2016	3.436820
2:18:49.478 PM 6/9/2016	2:18:51.558 PM 6/9/2016	3.450656
2:19:21.993 PM 6/9/2016	2:19:24.078 PM 6/9/2016	3.453635
2:19:51.855 PM 6/9/2016	2:19:53.948 PM 6/9/2016	3.427396
2:20:21.670 PM 6/9/2016	2:20:23.758 PM 6/9/2016	3.436229
2:20:48.108 PM 6/9/2016	2:20:50.218 PM 6/9/2016	3.402518
2:21:20.473 PM 6/9/2016	2:21:22.578 PM 6/9/2016	3.408123
2:21:50.434 PM 6/9/2016	2:21:52.538 PM 6/9/2016	3.420168
2:22:22.640 PM 6/9/2016	2:22:24.748 PM 6/9/2016	3.412969
2:22:52.659 PM 6/9/2016	2:22:54.768 PM 6/9/2016	3.411999
2:23:22.606 PM 6/9/2016	2:23:24.698 PM 6/9/2016	3.435442
2:23:48.805 PM 6/9/2016	2:23:50.898 PM 6/9/2016	3.432887
2:24:21.573 PM 6/9/2016	2:24:23.658 PM 6/9/2016	3.440959
2:24:48.484 PM 6/9/2016	2:24:50.578 PM 6/9/2016	3.439381
2:25:21.071 PM 6/9/2016	2:25:23.158 PM 6/9/2016	3.447880
2:25:50.704 PM 6/9/2016	2:25:52.778 PM 6/9/2016	3.469211
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
2:25:58.678 PM 6/9/2016	2:26:00.758 PM 6/9/2016	3.453834
