Exit Sensor	Nozzle Fire	RPM

7:00:00.000 PM 12/31/1903	7:00:00.000 PM 12/31/1903	0.000000
7:00:00.000 PM 12/31/1903	7:00:00.000 PM 12/31/1903	0.000000
1:55:31.092 PM 6/3/2016	1:55:33.165 PM 6/3/2016	3.469411
1:56:03.529 PM 6/3/2016	1:56:05.595 PM 6/3/2016	3.475038
1:56:33.014 PM 6/3/2016	1:56:35.076 PM 6/3/2016	3.482905
1:57:03.218 PM 6/3/2016	1:57:05.285 PM 6/3/2016	3.469813
1:57:35.441 PM 6/3/2016	1:57:37.505 PM 6/3/2016	3.483511
1:58:02.647 PM 6/3/2016	1:58:04.715 PM 6/3/2016	3.481288
1:58:34.744 PM 6/3/2016	1:58:36.795 PM 6/3/2016	3.503650
1:58:58.969 PM 6/3/2016	1:59:01.015 PM 6/3/2016	3.509798
1:59:31.064 PM 6/3/2016	1:59:33.115 PM 6/3/2016	3.502831
2:00:03.856 PM 6/3/2016	2:00:05.905 PM 6/3/2016	3.505902
2:00:30.830 PM 6/3/2016	2:00:32.865 PM 6/3/2016	3.525057
2:00:57.949 PM 6/3/2016	2:01:00.005 PM 6/3/2016	3.495281
2:01:35.797 PM 6/3/2016	2:01:37.845 PM 6/3/2016	3.509798
2:02:05.687 PM 6/3/2016	2:02:07.735 PM 6/3/2016	3.503650
2:02:29.153 PM 6/3/2016	2:02:31.195 PM 6/3/2016	3.516587
2:03:04.781 PM 6/3/2016	2:03:06.825 PM 6/3/2016	3.506516
2:03:28.988 PM 6/3/2016	2:03:31.035 PM 6/3/2016	3.511236
2:04:03.935 PM 6/3/2016	2:04:05.985 PM 6/3/2016	3.507541
2:04:26.098 PM 6/3/2016	2:04:28.155 PM 6/3/2016	3.495078
2:05:03.173 PM 6/3/2016	2:05:05.225 PM 6/3/2016	3.505902
2:05:33.206 PM 6/3/2016	2:05:35.255 PM 6/3/2016	3.497115
2:06:03.203 PM 6/3/2016	2:06:05.255 PM 6/3/2016	3.501196
2:06:35.349 PM 6/3/2016	2:06:37.405 PM 6/3/2016	3.497319
2:07:05.434 PM 6/3/2016	2:07:07.485 PM 6/3/2016	3.494264
2:07:31.867 PM 6/3/2016	2:07:33.915 PM 6/3/2016	3.500175
2:08:04.068 PM 6/3/2016	2:08:06.125 PM 6/3/2016	3.495078
2:08:26.224 PM 6/3/2016	2:08:28.275 PM 6/3/2016	3.499767
2:08:58.452 PM 6/3/2016	2:09:00.515 PM 6/3/2016	3.473428
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:09:30.991 PM 6/3/2016	2:09:33.065 PM 6/3/2016	3.463203
2:13:33.513 PM 6/3/2016	2:13:35.585 PM 6/3/2016	3.463403
2:14:00.843 PM 6/3/2016	2:14:02.905 PM 6/3/2016	3.480077
2:14:32.606 PM 6/3/2016	2:14:34.685 PM 6/3/2016	3.456619
