ID	Overall Result	RE Station Result	FE Station Result	ODP Station Result	SS Station Result	Time	RE Valid Master	RE Part Present	RE Part Orientation	RE Part Valid	RE Inner Bright	RE Inner Small Dark	RE Inner Large	RE Outer Bright	RE Outer Small Dark	RE Outer Large Dark	RE IDA Bright	RE IDA Large Dark	RE IDA Small Dark	RE ODA Bright	RE ODA Large Dark	RE ODA Small Dark	RE M Center X	RE M Center Y	RE UUT Center X	RE UUT Center Y	FE Valid Master	FE Part Orientation	FE Part Valid	FE Inner Diameter	FE Obstruction	FE Chip	FE  Inner Dia Min	FE Inner Dia Max	FE  Obstr Area	FE Chip Area	ODP Position	ODP Length	ODP Bumps	ODP Chips	ODP Envelope	ODP Nose	ODP # Images	ODP Length mm	ODP Max Bump mm	ODP Max Chip mm	ODP Env mm	ODP Max Env Frame	ODP  Nose W Min/Max	ODP  W Min/Max Frame	ODP Mdn OD mm	SS Valid	SS Bright Defect	SS Blemish Defect	SS Spot/Crack Defect	SS Bright DA mm^2	SS Blemish DA mm^2	SS Spot/Crack DA mm^2	SS  # Frames
0	Good	Pass	Pass	Pass	Pass	9:31:34.264 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	454.770966	472.893524	Pass	Pass	Pass	Pass	Pass	Pass	2.933280	2.933280	0.000000	0.037150	Pass	Pass	Pass	Pass	Pass	Pass	59	33.744762	0.000000	0.000000	5.103372	14	4.273348	46	4.928713	Pass	Pass	Pass	Pass	0.000000	0.000000	0.033957	59
1	Good	Pass	Pass	Pass	Pass	9:31:36.896 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	593.692749	503.372131	Pass	Pass	Pass	Pass	Pass	Pass	2.971080	2.971080	0.000000	0.000000	Pass	Pass	Pass	Pass	Pass	Pass	59	33.904091	0.000000	0.000000	5.186232	21	4.424484	41	4.945337	Pass	Pass	Pass	Pass	0.000000	0.100989	0.031752	59
2	Good	Pass	Pass	Pass	Pass	9:31:39.544 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.058423	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	587.997620	502.252411	Pass	Pass	Pass	Pass	Pass	Pass	2.940840	2.948400	0.000000	0.000000	Pass	Pass	Pass	Pass	Pass	Pass	59	34.287418	0.000000	43.282032	5.048934	5	4.333525	51	4.969513	Pass	Pass	Pass	Pass	0.031752	0.000000	0.000000	59
3	Good	Pass	Pass	Pass	Pass	9:31:58.648 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	485.340851	520.008362	Pass	Pass	Pass	Pass	Pass	Pass	2.918160	2.955960	0.000000	0.000000	Pass	Pass	Pass	Pass	Pass	Pass	59	34.112331	0.000000	0.000000	5.066736	42	4.325068	24	4.884187	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	59
4	Good	Pass	Pass	Pass	Pass	9:32:05.150 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	503.771484	474.056061	Pass	Pass	Pass	Pass	Pass	Pass	2.963520	2.971080	0.000000	0.014174	Pass	Pass	Pass	Pass	Pass	Pass	59	33.844780	0.000000	0.000000	5.061752	19	4.509156	7	4.944897	Pass	Pass	Pass	Pass	0.026460	0.084231	0.000000	59
5	Good	Pass	Pass	Pass	Pass	9:32:07.882 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	541.833435	497.275208	Pass	Pass	Pass	Pass	Pass	Pass	2.971080	2.978640	0.000000	0.040579	Pass	Pass	Pass	Pass	Pass	Pass	59	33.763435	63.014748	0.000000	5.082018	56	4.284761	41	4.861972	Pass	Pass	Pass	Pass	0.031311	0.185661	0.033075	59
6	Good	Pass	Pass	Pass	Pass	9:32:11.740 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	527.450989	474.606934	Pass	Pass	Pass	Pass	Pass	Pass	2.895480	2.925720	0.000000	0.002915	Pass	Pass	Pass	Pass	Pass	Pass	59	33.745018	0.000000	0.000000	5.130903	19	4.240377	15	4.937814	Pass	Pass	Pass	Pass	0.073647	0.086436	0.040572	59
7	Good	Pass	Pass	Pass	Pass	9:32:14.453 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.035482	0.013357	0.000000	0.000000	0.000000	500.023865	479.857452	562.714355	485.324127	Pass	Pass	Pass	Pass	Pass	Pass	2.925720	2.971080	0.000000	0.000000	Pass	Pass	Pass	Pass	Pass	Pass	59	34.245609	0.000000	0.000000	5.067841	35	4.328810	45	4.945925	Pass	Pass	Pass	Pass	0.027783	0.098784	0.050274	59
8	Good	Pass	Pass	Pass	Pass	9:32:19.865 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	516.534607	503.148895	Pass	Pass	Pass	Pass	Pass	Pass	2.910600	2.971080	0.000000	0.000000	Pass	Pass	Pass	Pass	Pass	Pass	59	34.123898	0.000000	0.000000	5.022843	51	4.226015	42	4.944670	Pass	Pass	Pass	Pass	0.000000	0.092610	0.037485	59
9	Good	Pass	Pass	Pass	Pass	9:32:22.564 AM 9/13/2016	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	500.023865	479.857452	574.446411	496.812775	Pass	Pass	Pass	Pass	Pass	Pass	2.940840	2.971080	0.000000	0.006173	Pass	Pass	Pass	Pass	Pass	Pass	59	33.950031	53.964378	0.000000	5.111592	41	4.325212	41	4.926965	Pass	Pass	Pass	Pass	0.035280	0.109368	0.038808	59
